0, 0, -10.3132, 0, 0, 0, 
-0.00417396, -0.0166157, -10.3392, -0.000382455, 0.0185051, 0.034756, 
-0.0120661, -0.0480582, -10.3887, -0.00110602, 0.0535137, 0.10051, 
-0.02327, -0.0927275, -10.4593, -0.00213393, 0.103246, 0.193912, 
-0.0374228, -0.1492, -10.5492, -0.00343346, 0.16611, 0.311972, 
-0.0542013, -0.216207, -10.6566, -0.00497541, 0.240682, 0.452023, 
-0.0733178, -0.292614, -10.7799, -0.00673369, 0.325697, 0.611688, 
-0.094516, -0.377411, -10.9175, -0.00868498, 0.420023, 0.788845, 
-0.117568, -0.469695, -11.0683, -0.0108084, 0.522653, 0.981604, 
-0.142271, -0.568662, -11.2309, -0.0130853, 0.632688, 1.18828, 
-0.168444, -0.673592, -11.4042, -0.0154989, 0.749326, 1.40736, 
-0.195927, -0.783844, -11.5873, -0.0180342, 0.871851, 1.6375, 
-0.224577, -0.898848, -11.7791, -0.0206781, 0.999627, 1.87752, 
-0.254266, -1.01809, -11.9788, -0.0234184, 1.13209, 2.12634, 
-0.284882, -1.14112, -12.1856, -0.0262446, 1.26872, 2.38301, 
-0.316322, -1.26752, -12.3987, -0.0291473, 1.40907, 2.64668, 
-0.348498, -1.39694, -12.6176, -0.0321181, 1.55275, 2.9166, 
-0.381328, -1.52905, -12.8415, -0.0351494, 1.69939, 3.19208, 
-0.414742, -1.66356, -13.07, -0.0382346, 1.84866, 3.47253, 
-0.448674, -1.80021, -13.3026, -0.0413678, 2.00029, 3.7574, 
-0.483069, -1.93878, -13.5387, -0.0445438, 2.15402, 4.04623, 
-0.517874, -2.07905, -13.7782, -0.0477579, 2.30962, 4.33858, 
-0.553045, -2.22085, -14.0205, -0.051006, 2.46689, 4.63407, 
-0.58854, -2.36402, -14.2653, -0.0542843, 2.62565, 4.93236, 
-0.624323, -2.5084, -14.5124, -0.0575897, 2.78573, 5.23315, 
-0.660361, -2.65386, -14.7616, -0.0609192, 2.947, 5.53617, 
-0.696625, -2.8003, -15.0125, -0.0642702, 3.10933, 5.84118, 
